Borough,Rental,Homeownership,Others,Total,Completion,Completion
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Brooklyn,0,1,0,1,No,0 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,3,0,3,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,26,0,0,26,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,3,0,3,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,27,0,0,27,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,3,0,3,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Manhattan,130,0,0,130,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,41,0,0,41,Yes,1 
Bronx,160,0,0,160,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,17,0,0,17,Yes,1 
Bronx,27,0,0,27,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Manhattan,30,0,0,30,Yes,1 
Manhattan,41,0,0,41,Yes,1 
Bronx,44,0,0,44,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,91,0,0,91,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,51,0,0,51,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,288,0,288,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,0,15,15,Yes,1 
Bronx,0,0,18,18,Yes,1 
Bronx,24,0,0,24,Yes,1 
Bronx,26,0,0,26,Yes,1 
Bronx,27,0,0,27,Yes,1 
Bronx,38,0,0,38,Yes,1 
Bronx,0,0,40,40,Yes,1 
Bronx,0,0,44,44,Yes,1 
Bronx,44,0,0,44,Yes,1 
Bronx,0,0,54,54,Yes,1 
Queens,151,0,0,151,Yes,1 
Manhattan,245,0,0,245,Yes,1 
Manhattan,241,4,0,245,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,84,0,0,84,Yes,1 
Manhattan,155,0,0,155,Yes,1 
Bronx,536,0,0,536,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,4,0,4,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,2,0,2,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,2,0,2,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,2,0,2,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,3,0,0,3,Yes,1 
Brooklyn,3,0,0,3,Yes,1 
Brooklyn,4,0,0,4,Yes,1 
Brooklyn,4,0,0,4,Yes,1 
Brooklyn,4,0,0,4,Yes,1 
Brooklyn,4,0,0,4,Yes,1 
Brooklyn,4,0,0,4,Yes,1 
Brooklyn,6,0,0,6,Yes,1 
Brooklyn,6,0,0,6,Yes,1 
Brooklyn,7,0,0,7,Yes,1 
Brooklyn,8,0,0,8,Yes,1 
Brooklyn,8,0,0,8,Yes,1 
Brooklyn,8,0,0,8,Yes,1 
Brooklyn,8,0,0,8,Yes,1 
Brooklyn,10,0,0,10,Yes,1 
Brooklyn,11,0,0,11,Yes,1 
Brooklyn,12,0,0,12,Yes,1 
Brooklyn,16,0,0,16,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,2,0,2,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,3,0,3,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Manhattan,110,0,0,110,Yes,1 
Manhattan,131,0,0,131,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,31,0,0,31,Yes,1 
Bronx,36,0,0,36,Yes,1 
Manhattan,58,1,0,59,Yes,1 
Manhattan,88,0,0,88,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,2,0,2,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,70,0,0,70,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Manhattan,30,0,0,30,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,3,0,3,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,2,0,2,Yes,1 
Queens,0,2,0,2,Yes,1 
Bronx,0,4,0,4,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Manhattan,7,0,0,7,Yes,1 
Manhattan,12,0,0,12,Yes,1 
Manhattan,15,0,0,15,Yes,1 
Manhattan,16,0,0,16,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,41,0,0,41,Yes,1 
Manhattan,44,0,0,44,Yes,1 
Manhattan,54,0,0,54,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Manhattan,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Brooklyn,0,3,0,3,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,2,0,2,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,2,0,2,Yes,1 
Queens,151,0,0,151,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,2,0,2,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,69,0,0,69,Yes,1 
Bronx,91,0,0,91,Yes,1 
Bronx,91,0,0,91,Yes,1 
Bronx,0,2,0,2,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Bronx,11,0,0,11,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Manhattan,129,0,127,256,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Bronx,24,0,0,24,Yes,1 
Bronx,25,0,0,25,Yes,1 
Bronx,25,0,0,25,Yes,1 
Bronx,43,0,0,43,Yes,1 
Bronx,63,0,0,63,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,25,0,0,25,Yes,1 
Bronx,39,0,0,39,Yes,1 
Bronx,0,2,0,2,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,35,0,0,35,Yes,1 
Bronx,9,0,0,9,Yes,1 
Queens,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Bronx,11,0,0,11,Yes,1 
Bronx,20,0,0,20,Yes,1 
Bronx,48,0,0,48,Yes,1 
Bronx,0,1,0,1,Yes,1 
Bronx,0,1,0,1,Yes,1 
Staten Island,0,1,0,1,Yes,1 
Brooklyn,0,1,0,1,Yes,1 
Bronx,8,0,0,8,Yes,1 
Bronx,8,0,0,8,Yes,1 
Bronx,10,0,0,10,Yes,1 
Bronx,14,0,0,14,Yes,1 
Bronx,16,0,0,16,Yes,1 
Bronx,20,0,0,20,Yes,1 
Bronx,20,0,0,20,Yes,1 
Queens,0,1,0,1,Yes,1 
Manhattan,108,0,0,108,Yes,1 
Bronx,18,0,0,18,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Manhattan,18,0,0,18,Yes,1 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,1,1,0,2,No,0 
Brooklyn,0,3,0,3,No,0 
Manhattan,20,0,0,20,Yes,1 
Bronx,23,0,0,23,Yes,1 
Manhattan,40,0,0,40,Yes,1 
Bronx,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,2,0,0,2,Yes,1 
Brooklyn,2,0,0,2,Yes,1 
Brooklyn,2,0,0,2,Yes,1 
Brooklyn,3,0,0,3,Yes,1 
Brooklyn,3,0,0,3,Yes,1 
Brooklyn,5,0,0,5,Yes,1 
Brooklyn,0,4,0,4,No,0 
Brooklyn,7,0,0,7,Yes,1 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,0,4,0,4,No,0 
Brooklyn,8,0,0,8,Yes,1 
Bronx,0,1,0,1,Yes,1 
Manhattan,5,0,0,5,No,0 
Bronx,0,2,0,2,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
Bronx,0,1,0,1,Yes,1 
Brooklyn,0,7,0,7,No,0 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,1,0,1,Yes,1 
Manhattan,9,0,0,9,Yes,1 
Manhattan,10,0,0,10,Yes,1 
Manhattan,12,0,0,12,Yes,1 
Manhattan,15,0,0,15,Yes,1 
Queens,0,1,0,1,Yes,1 
Brooklyn,2,0,6,8,No,0 
Brooklyn,2,0,6,8,No,0 
Brooklyn,4,0,4,8,No,0 
Brooklyn,0,8,0,8,No,0 
Brooklyn,0,2,6,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Brooklyn,8,0,0,8,No,0 
Queens,0,1,0,1,Yes,1 
Brooklyn,2,0,6,8,No,0 
Manhattan,2,0,6,8,No,0 
Staten Island,0,1,0,1,Yes,1 
Manhattan,2,0,6,8,No,0 
Queens,0,1,0,1,Yes,1 
Brooklyn,2,0,7,9,No,0 
Brooklyn,2,0,7,9,No,0 
Manhattan,2,0,7,9,No,0 
Manhattan,7,0,0,7,Yes,1 
Brooklyn,2,0,8,10,No,0 
Manhattan,13,0,0,13,Yes,1 
Brooklyn,2,0,8,10,No,0 
Brooklyn,2,0,8,10,No,0 
Brooklyn,0,10,0,10,No,0 
Brooklyn,0,1,0,1,Yes,1 
Manhattan,11,0,0,11,No,0 
Manhattan,0,10,1,11,No,0 
Brooklyn,3,0,9,12,No,0 
Manhattan,3,0,10,13,No,0 
Bronx,3,0,11,14,No,0 
Brooklyn,3,0,11,14,No,0 
Queens,0,1,0,1,Yes,1 
Brooklyn,3,0,12,15,No,0 
Brooklyn,0,1,0,1,Yes,1 
Brooklyn,4,0,13,17,No,0 
Brooklyn,18,0,0,18,No,0 
Brooklyn,18,0,0,18,No,0 
Manhattan,17,0,1,18,No,0 
Brooklyn,19,0,0,19,No,0 
Brooklyn,4,0,16,20,No,0 
Brooklyn,4,0,16,20,No,0 
Manhattan,5,0,15,20,No,0 
Manhattan,20,0,0,20,No,0 
Manhattan,20,0,1,21,No,0 
Manhattan,5,0,16,21,No,0 
Brooklyn,4,0,18,22,No,0 
Brooklyn,24,0,0,24,No,0 
Bronx,25,0,0,25,No,0 
Bronx,25,0,0,25,No,0 
Manhattan,42,0,0,42,Yes,1 
Bronx,6,0,21,27,No,0 
Queens,0,1,0,1,Yes,1 
Bronx,0,2,0,2,Yes,1 
Queens,6,0,21,27,No,0 
Bronx,28,0,0,28,No,0 
Brooklyn,28,0,0,28,No,0 
Queens,6,0,22,28,No,0 
Manhattan,10,0,19,29,No,0 
Bronx,30,0,0,30,No,0 
Brooklyn,0,1,0,1,Yes,1 
Queens,0,2,0,2,Yes,1 
Brooklyn,0,2,0,2,Yes,1 
